Site,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Count_Years18To49_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Percent_Years18To49_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_Percent_Years18To49_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_Percent_Years18To49_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Count_Years50To64_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Percent_Years50To64_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_Percent_Years50To64_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_Percent_Years50To64_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Count_65OrMoreYears_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Percent_65OrMoreYears_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_Percent_65OrMoreYears_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_Percent_65OrMoreYears_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Count_Male_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Percent_Male_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_Percent_Male_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_Percent_Male_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Count_Female_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Percent_Female_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_Percent_Female_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_Percent_Female_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Count_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:Percent_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_Percent_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_Percent_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:EstimatedCumulativeCount_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:LowerConfidenceIntervalLimit_EstimatedCumulativeCount_MedicalConditionIncident_COVID_19_Seroprevalence,dcs:UpperConfidenceIntervalLimit_EstimatedCumulativeCount_MedicalConditionIncident_COVID_19_Seroprevalence,End_Date
dcid:geoId/02,5,,,,81,0.7,0.0,2.23,83,0.0,0.0,4.35,73,,,,88,0.0,0.0,4.11,154,0.7,0.0,2.35,242,0.3,0.0,1.12,2216,0,8271,2020-08-11
dcid:geoId/01,192,10.2,5.61,14.83,242,4.7,1.86,7.8,245,5.9,2.71,10.0,255,2.3,0.6,4.63,373,4.9,2.5,7.97,565,6.6,4.39,9.15,938,5.8,4.16,7.71,282151,202371,375067,2020-08-13
dcid:geoId/05,199,5.0,2.0,8.6,241,4.7,2.17,7.88,242,4.2,1.38,7.5,242,1.5,0.0,3.29,380,3.8,1.86,6.1,557,4.3,2.4,6.68,937,4.1,2.74,5.63,122618,81944,168375,2020-08-13
dcid:geoId/04,24,,,,244,10.8,3.61,20.32,222,7.1,0.74,14.83,101,5.5,0.18,12.19,93,9.0,2.2,17.7,498,7.5,3.26,13.56,591,8.2,4.11,13.59,569628,285509,944054,2020-08-11
dcid:geoId/06,245,6.2,3.12,10.09,245,7.0,3.9,10.3,245,5.2,2.46,8.82,245,1.1,0.0,2.61,420,5.1,2.74,7.83,560,6.3,3.97,9.19,980,5.7,4.05,7.77,2231479,1585525,3041859,2020-08-05
dcid:geoId/08,240,4.3,0.63,10.52,246,1.1,0.0,2.75,258,4.3,0.34,11.31,257,0.8,0.0,2.07,454,2.7,0.75,5.72,547,2.1,0.49,4.94,1001,2.4,0.89,4.53,132747,49227,250561,2020-08-07
dcid:geoId/09,248,3.9,1.48,6.46,249,3.1,1.0,5.62,248,3.7,1.3,6.3,249,2.7,0.5,5.17,417,4.2,2.13,6.42,577,2.5,1.18,4.1,994,3.4,2.04,4.72,121771,73063,169047,2020-08-03
dcid:geoId/11,49,,,,262,1.4,0.0,3.09,185,5.5,2.28,9.15,219,6.4,3.28,9.94,321,3.3,1.27,5.93,396,4.4,2.06,7.53,717,3.9,2.18,5.76,26695,14922,39427,2020-08-13
dcid:geoId/10,52,,,,237,8.3,4.31,12.72,261,5.0,2.24,8.34,254,0.9,0.0,2.29,339,4.3,2.13,7.12,465,7.0,4.02,10.92,804,5.7,3.55,8.22,54121,33707,78048,2020-08-13
dcid:geoId/12,245,3.8,1.57,6.35,245,5.4,2.28,8.78,244,3.7,1.22,6.46,246,3.3,0.96,6.22,427,5.2,2.67,7.95,553,3.5,1.78,5.34,980,4.3,2.77,5.86,885720,570568,1207051,2020-08-03
dcid:geoId/13,242,8.6,4.78,12.54,245,7.8,4.18,11.09,245,4.9,2.02,7.86,252,2.8,0.8,5.52,459,8.1,5.08,11.86,526,5.6,3.35,8.43,985,6.8,4.83,8.81,700229,497368,907208,2020-08-11
dcid:geoId/15,1,,,,1,,,,2,,,,1,,,,1,,,,4,,,,5,,,,,,,2020-08-11
dcid:geoId/19,69,,,,251,11.4,7.12,16.11,254,6.5,2.92,9.93,237,2.5,0.44,5.12,353,4.6,1.85,7.4,458,12.5,8.54,17.01,811,8.6,5.98,11.34,269395,187323,355225,2020-08-13
dcid:geoId/16,10,,,,78,10.3,3.75,19.04,65,,,,93,1.3,0.0,4.51,90,7.0,2.04,14.12,156,2.1,0.16,5.31,246,4.5,1.8,7.99,75951,30381,134856,2020-08-11
dcid:geoId/17,244,5.1,1.96,8.55,246,3.8,1.6,6.24,252,3.5,1.43,5.78,260,3.1,1.18,5.51,432,3.5,1.62,5.64,572,4.3,2.59,6.32,1004,3.9,2.52,5.21,500038,323102,668000,2020-08-10
dcid:geoId/18,23,,,,228,3.3,0.97,6.16,186,4.4,1.08,9.53,142,0.0,0.0,2.56,152,1.4,0.0,3.3,427,3.0,1.16,5.46,579,2.2,1.1,3.63,146023,73012,240939,2020-08-11
dcid:geoId/20,234,1.6,0.0,3.74,240,1.9,0.33,4.26,244,1.5,0.0,3.36,244,0.9,0.0,2.51,420,1.4,0.28,2.84,542,1.8,0.44,3.46,962,1.6,0.7,2.8,46540,20361,81446,2020-08-08
dcid:geoId/21,240,4.1,1.66,7.21,246,2.1,0.34,4.34,243,2.2,0.42,4.31,245,1.3,0.0,3.17,448,2.2,0.65,4.06,527,2.7,1.16,4.39,975,2.4,1.32,3.62,106565,58611,160735,2020-08-13
dcid:geoId/22,245,11.7,6.99,17.33,252,10.6,6.64,15.17,249,9.9,4.06,18.63,256,2.7,0.73,5.06,401,8.9,5.1,13.35,601,10.2,6.91,13.74,1002,9.6,6.88,12.29,447707,320857,573158,2020-08-13
dcid:geoId/25,242,6.2,3.13,9.64,243,3.4,1.19,6.05,245,4.6,1.81,7.29,248,3.5,1.29,6.01,413,4.8,2.83,7.36,565,3.7,1.94,5.43,978,4.2,2.89,5.81,286868,197393,396834,2020-08-10
dcid:geoId/24,67,,,,241,11.6,7.13,15.96,237,5.7,3.04,8.61,238,2.8,0.93,5.07,284,11.5,6.57,16.74,499,8.1,5.18,11.83,783,9.7,7.26,12.87,582333,435849,772642,2020-08-11
dcid:geoId/23,26,,,,229,0.4,0.0,1.46,152,1.2,0.0,3.28,191,0.4,0.0,1.56,233,1.0,0.0,2.37,365,0.0,0.0,1.01,598,0.5,0.0,1.16,6664,0,15461,2020-08-11
dcid:geoId/26,245,6.7,3.64,10.4,245,3.6,1.39,6.48,243,1.8,0.0,3.83,249,0.3,0.0,1.28,454,3.9,2.0,6.07,528,2.8,1.31,4.67,982,3.4,2.16,4.84,338555,215082,481942,2020-08-11
dcid:geoId/27,142,3.7,1.03,7.02,240,4.5,2.16,7.08,243,1.6,0.32,3.1,247,3.2,0.0,9.08,361,3.2,1.08,5.61,518,3.8,1.95,5.68,879,3.5,2.06,5.01,193458,113864,276921,2020-08-13
dcid:geoId/29,242,3.2,1.12,5.45,244,2.9,0.96,5.15,244,2.1,0.33,4.46,243,1.1,0.0,3.25,429,1.7,0.55,3.19,550,3.3,1.45,5.19,979,2.5,1.44,3.61,152252,87697,219851,2020-08-10
dcid:geoId/28,37,,,,243,6.2,2.83,10.12,246,5.0,2.09,8.73,243,2.6,0.54,5.49,328,4.0,1.23,7.81,441,10.0,4.05,17.18,769,7.1,3.75,11.09,212202,112079,331454,2020-08-13
